Result: 
Result: 
Started: 13.07	Three Etch Cell: 4,616000 cm2	Wafer box: (i)(1)	Etch time: 2400 s	Constant Current	30,000000mA/cm2	Lift-Off: 617,420000 mA/cm2, 2000ms -> wait: 0 ms -> 0,000000 mA/cm2, 0 ms.	Agilent N5768A	Result: No current
Started: 13.07	Three Etch Cell: 4,616000 cm2	Wafer box: (i)(1)	Etch time: 2400 s	Constant Current	30,000000mA/cm2	Lift-Off: 617,420000 mA/cm2, 2000ms -> wait: 0 ms -> 0,000000 mA/cm2, 0 ms.	Agilent N5768A	Result: No current
Started: 13.10	Three Etch Cell: 4,616000 cm2	Wafer box: (i)(1)	Etch time: 2400 s	Constant Current	30,000000mA/cm2	Lift-Off: 617,420000 mA/cm2, 2000ms -> wait: 0 ms -> 0,000000 mA/cm2, 0 ms.	Agilent N5768A	Result: No current
Started: 13.10	Three Etch Cell: 4,616000 cm2	Wafer box: (i)(1)	Etch time: 2400 s	Constant Current	30,000000mA/cm2	Lift-Off: 617,420000 mA/cm2, 2000ms -> wait: 0 ms -> 0,000000 mA/cm2, 0 ms.	Agilent N5768A	Result: No current
Started: 13.25	15 cm Cell: 118,570000 cm2	Wafer box: (i)(1)	Etch time: 2400 s	Constant Current	30,000000mA/cm2	Lift-Off: 160,243000 mA/cm2, 2000ms -> wait: 1000 ms -> 253,015000 mA/cm2, 1000 ms.	Agilent N8757A	Result: No current
Started: 13.25	15 cm Cell: 118,570000 cm2	Wafer box: (i)(1)	Etch time: 2400 s	Pulsed Etching	50,000000 mA/cm2, 2200 ms -> 200,000000 mA/cm2, 350 ms -> wait 1000 ms.	Lift-Off: 160,243000 mA/cm2, 2000ms -> wait: 1000 ms -> 253,015000 mA/cm2, 1000 ms.	Agilent N8757A	Result: No current
Result: 
Started: 13.27	Three Etch Cell: 4,616000 cm2	Wafer box: (i)(1)	Etch time: 2400 s	Pulsed Etching	50,000000 mA/cm2, 2200 ms -> 200,000000 mA/cm2, 350 ms -> wait 1000 ms.	Lift-Off: 617,420000 mA/cm2, 2000ms -> wait: 0 ms -> 0,000000 mA/cm2, 0 ms.	Agilent N5768A	Result: No current
Started: 13.28	15 cm Cell: 118,570000 cm2	Wafer box: (i)(1)	Etch time: 2400 s	Pulsed Etching	50,000000 mA/cm2, 2200 ms -> 200,000000 mA/cm2, 350 ms -> wait 1000 ms.	Lift-Off: 160,243000 mA/cm2, 2000ms -> wait: 1000 ms -> 253,015000 mA/cm2, 1000 ms.	Agilent N8757A	Result: No current
Started: 13.28	Three Etch Cell: 4,616000 cm2	Wafer box: (i)(1)	Etch time: 2400 s	Pulsed Etching	50,000000 mA/cm2, 2200 ms -> 200,000000 mA/cm2, 350 ms -> wait 1000 ms.	Lift-Off: 617,420000 mA/cm2, 2000ms -> wait: 0 ms -> 0,000000 mA/cm2, 0 ms.	Agilent N5768A	Result: No current
Started: 13.29	15 cm Cell: 118,570000 cm2	Wafer box: (i)(1)	Etch time: 2400 s	Pulsed Etching	50,000000 mA/cm2, 2200 ms -> 200,000000 mA/cm2, 350 ms -> wait 1000 ms.	Lift-Off: 160,243000 mA/cm2, 2000ms -> wait: 1000 ms -> 253,015000 mA/cm2, 1000 ms.	Agilent N8757A	Result: No current
Started: 13.29	15 cm Cell: 118,570000 cm2	Wafer box: (i)(1)	Etch time: 2400 s	Pulsed Etching	50,000000 mA/cm2, 2200 ms -> 200,000000 mA/cm2, 350 ms -> wait 1000 ms.	Lift-Off: 160,243000 mA/cm2, 2000ms -> wait: 1000 ms -> 253,015000 mA/cm2, 1000 ms.	Agilent N8757A	Result: No current
Started: 14.24	Three Etch Cell: 4,616000 cm2	Wafer box: (i)(1)	Etch time: 2400 s	Constant Current	30,000000mA/cm2	Lift-Off: 617,420000 mA/cm2, 2000ms -> wait: 0 ms -> 0,000000 mA/cm2, 0 ms.	Agilent N5768A	Result: No current
Started: 14.35	Three Etch Cell: 4,616000 cm2	Wafer box: (i)(1)	Etch time: 2400 s	Constant Current	30,000000mA/cm2	Lift-Off: 617,420000 mA/cm2, 2000ms -> wait: 0 ms -> 0,000000 mA/cm2, 0 ms.	Agilent N5768A	Result: No current
Started: 14.35	Three Etch Cell: 4,616000 cm2	Wafer box: (i)(1)	Etch time: 2400 s	Constant Current	30,000000mA/cm2	Lift-Off: 617,420000 mA/cm2, 2000ms -> wait: 0 ms -> 0,000000 mA/cm2, 0 ms.	Agilent N5768A	Result: No current
